e1,d1,d2,d4,d5,d6,r1,r2,r5,r6,r9,r10,r11,r13,r15,r19,r20,r21,r22,r24,r25,r26,r27,r28,f1,f3,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,f15,f16,f17,r3,r7,r8
4,2,1,1,5,21,1,5,21,1,4,4,2,5,7,6,2,2,3,7,2,2,4,1,14,5,2,1,5,1,3,1,5,5,5,3,6,3,4,2,1,1,,2,,,2,1,2,,4,,,5,5,5,20,20,
4,2,1,1,4,18,1,2,19,4,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2
3,2,1,1,3,21,1,0,25,2,5,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,33,
5,2,4,1,4,18,1,2,18,2,4,5,1,5,7,7,1,1,2,7,1,1,1,1,14,1,5,5,2,2,2,3,3,5,6,6,,,,,,,,,,,,,,,,,,,,,33,33,48
,2,1,1,4,20,2,0,20,1,5,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12,13
4,2,1,1,4,20,1,2,20,4,3,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,6,1
4,2,1,1,4,20,1,1,21,4,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,34,
3,2,1,1,4,21,2,2,,1,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12,14
,2,1,1,4,18,1,1,18,1,1,1,2,5,1,3,5,4,5,2,4,3,5,2,8,1,1,2,2,1,1,1,1,1,6,7,,,,,,,,,,,,,,,,,,,,,9,5,12
4,2,1,1,2,20,1,3,21,1,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,4
,1,1,1,4,22,1,1,20,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2
3,2,1,1,5,21,2,0,21,1,4,2,1,3,5,7,1,4,4,5,1,2,5,1,14,1,2,1,4,2,1,1,1,1,7,7,,,,,,,,,,,,,,,,,,,,,30,12,23
3,2,1,1,4,22,1,1,23,1,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,
7,2,1,1,2,19,1,0,20,4,5,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,72,
1,2,1,1,2,21,1,2,23,2,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,
6,1,1,1,5,22,2,10,21,1,5,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,29,13
,2,1,1,4,19,1,1,21,4,2,3,3,5,4,7,1,2,1,7,1,1,1,1,14,1,1,1,2,1,1,5,5,3,3,7,,,,,,,,,,,,,,,,,,,,,20,20,10
4,2,1,1,5,21,0,2,21,2,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,5,8
4,1,1,1,2,19,1,2,19,1,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,4,6
2,2,4,1,4,18,0,1,19,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.3,44
4,2,1,1,3,18,1,0,19,1,1,2,2,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,20
5,2,4,1,4,20,1,3,20,1,1,2,1,2,4,2,5,2,6,1,4,6,2,1,14,1,5,2,2,2,2,3,2,2,6,7,3,,5,4,5,4,,4,,,2,1,,,,5,,5,5,5,2,1,3
2,2,4,1,5,20,3,4,20,1,3,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,7,24
,2,4,1,4,21,4,3,21,1,4,3,3,3,7,6,2,6,2,5,7,3,6,2,12,4,5,6,3,9,9,9,9,9,5,4,10,10,10,10,8,7,10,10,8,10,10,8,10,10,10,5,8,4,4,3,24,24,5
5,2,1,1,5,20,1,2,23,1,3,3,1,5,7,7,1,1,1,7,1,2,1,1,14,4,1,1,4,1,3,5,4,5,5,5,3,6,3,,,,,,,,,5,,,,,,5,4,4,8,8,
5,1,1,1,3,21,1,20,,1,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,8,24
4,1,1,1,5,19,3,4,19,1,4,4,2,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,54,6
4,1,1,1,5,19,0,0,18,1,1,1,2,3,4,4,4,4,4,4,4,4,4,2,14,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,,0,4,4
2,2,1,1,5,19,2,2,19,1,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,13
4,2,1,1,4,20,2,3,21,1,4,4,1,5,6,6,2,2,4,6,2,2,4,1,14,6,4,2,4,6,6,6,6,6,2,2,,,,,,,,,,,,,,,,,,,,,24,8,2
4,2,1,1,3,19,2,5,19,2,2,5,3,4,4,4,5,2,7,5,1,5,1,3,15,3,2,1,2,2,4,5,5,5,1,3,,,,,,,,,,,,,,,,,,,,,22,22,34
4,2,1,1,4,20,0,0,20,1,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,24,
6,2,3,1,4,20,1,4,21,2,5,5,1,5,7,7,1,1,2,7,1,1,2,1,14,1,2,1,5,4,1,1,2,1,5,7,,,,,,,,,,,,,,,,,,,,,23,23,29
4,1,1,1,5,20,1,9,20,2,5,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,
1,2,1,1,5,20,1,2,19,1,5,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,22,36
4,2,4,2,5,24,1,0,24,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,50
,2,1,1,6,22,1,1,22,2,5,5,2,4,4,4,4,4,4,4,4,4,4,2,14,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,,7,7,
4,2,1,1,4,22,1,0,25,1,3,3,2,3,6,4,5,5,4,4,5,5,6,4,11,6,6,6,6,6,6,6,6,5,6,6,,,,,,,,,,,,,,,,,,,,,3,3,4
4,1,1,1,4,19,1,0,,3,2,3,1,4,6,6,1,1,4,7,2,2,1,1,14,2,1,1,5,1,1,1,1,1,7,7,,,,,,,,,,,,,,,,,,,,,6,6,
5,2,1,1,4,19,1,1,18,1,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,21,2
2,2,1,1,4,20,3,6,20,1,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,4,1
3,1,1,1,4,19,1,0,17,3,5,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
3,2,1,1,4,22,1,2,25,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,1,
4,2,4,1,4,21,1,2,21,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2
4,2,5,1,5,21,2,1,23,1,4,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,6,24
4,2,1,1,3,21,2,3,21,1,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,5,0.5
1,2,1,1,4,20,3,6,21,1,5,5,1,5,7,5,3,1,4,6,2,2,5,1,12,6,5,2,1,6,7,7,7,5,1,1,4,3,5,4,,7,0,0,,3,1,,2,5,6,2,4,,,,10,8,13
6,2,4,1,4,21,2,5,20,1,1,1,1,1,5,1,7,5,4,2,6,2,2,2,14,3,7,5,2,2,5,7,6,6,5,4,5,10,2,6,6,6,,8,,3,,,7,8,8,,6,4,4,4,4,7,4
5,2,1,1,2,20,1,1,20,1,3,3,1,5,6,7,1,2,2,7,2,1,2,1,14,3,7,2,4,6,6,6,6,6,6,5,8,8,,10,5,10,,10,,,1,5,7,9,0,7,9,4,4,4,13,13,
4,2,1,1,4,18,1,3,18,1,5,5,1,5,7,6,1,2,3,7,1,2,2,1,12,4,5,2,3,3,6,6,6,6,2,2,8,2,5,8,10,3,9,9,,3,,,10,,9,,8,5,5,5,27,27,
2,2,1,1,5,19,1,3,18,4,5,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,20,12
4,2,1,1,5,19,3,3,46,2,5,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,6
4,2,1,1,5,18,1,2,19,1,3,3,1,4,6,7,2,6,4,6,2,6,4,1,14,6,6,2,2,6,6,6,6,6,2,4,,,,,,,,,,,,,,,,,,,,,2,2,
4,2,4,1,3,27,2,10,33,1,5,5,1,5,7,6,1,1,1,7,1,1,1,1,12,7,7,4,3,7,1,6,5,7,1,1,7,8,3,8,8,7,9,9,3,9,,4,9,7,5,2,10,5,5,5,28,28,9
4,1,1,1,5,19,2,3,19,1,3,3,1,4,6,6,6,2,3,6,6,2,3,2,14,1,2,2,5,5,2,2,2,2,7,7,3,5,3,6,2,5,,4,,5,2,0,2,7,7,3,7,5,5,5,4,2,8
4,2,1,1,4,20,2,1,20,2,5,5,1,5,5,6,3,2,2,6,2,7,2,3,14,5,7,3,2,6,7,7,7,7,5,3,,,,,,,,,,,,,,,,,,,,,22,2,8
3,2,1,1,5,18,2,1,19,1,2,4,2,5,2,5,2,4,2,6,3,4,4,1,12,2,4,1,1,1,5,6,6,6,6,3,,,,,,,,,,,,,,,,,,,,,14,14,0
5,1,1,1,4,18,1,0,18,2,4,4,1,4,7,4,5,2,6,4,3,4,6,4,14,1,5,4,1,3,1,5,5,1,5,7,6,7,3,7,,5,,5,,,6,4,3,,5,4,4,4,3,3,5,5,
3,2,1,1,5,19,2,1,19,1,3,3,1,5,5,7,2,4,3,7,2,2,2,1,14,1,4,1,3,2,2,2,2,1,6,7,3,,,2,6,7,,4,,8,1,2,0,,5,,1,5,5,5,15,6,7
3,1,1,1,5,19,3,0,19,2,4,3,1,5,6,7,1,1,1,7,1,1,1,1,12,7,1,1,7,4,6,6,4,7,1,1,7,1,8,5,2,2,4,1,1,7,0,6,3,0,9,0,0,5,5,5,16,6,13
4,2,4,1,5,22,2,4,21,1,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,5,9
2,1,1,1,4,18,2,3,18,1,3,2,1,4,6,6,2,6,5,4,4,2,4,2,14,6,7,2,1,1,7,7,7,7,5,2,6,1,1,5,8,7,3,7,,9,5,1,3,10,4,1,4,4,5,3,7,7,18
4,1,1,1,5,20,1,2,20,1,5,3,2,4,4,6,2,6,2,4,5,5,2,3,14,1,5,2,5,3,2,2,3,2,6,6,3,,,,,,,,,5,4,6,,,1,,,5,5,4,11,11,43
2,1,4,1,5,18,3,1,18,1,2,1,2,5,7,7,1,1,5,7,1,1,6,1,14,1,1,1,6,2,1,2,2,1,3,7,,,,,,,,,,,,,,,,,,,,,10,1,1
2,2,1,1,4,20,3,1,20,3,5,4,3,3,5,7,4,7,1,3,3,3,6,4,14,1,1,1,5,1,1,1,1,1,6,7,4,,,,,4,,,,7,7,5,,,6,,,5,5,5,19,3,0.25
5,2,4,1,4,18,1,1,22,1,5,5,3,5,1,4,7,4,5,4,2,4,2,4,14,1,2,3,7,6,1,1,2,1,6,7,7,4,6,7,,,,2,,4,8,,,,10,5,8,5,5,5,17,1,24
5,2,1,1,5,21,2,3,22,2,5,5,3,5,6,6,2,2,2,6,2,2,2,1,14,1,2,1,3,1,2,6,6,6,6,4,3,,3,,1,7,7,5,,5,,5,4,4,7,6,6,5,5,3,24,24,
2,2,1,1,4,18,2,1,18,1,2,1,1,3,6,4,3,5,3,3,5,3,6,4,12,5,9,9,9,9,9,9,9,9,9,1,6,9,9,6,1,1,6,1,8,8,8,7,2,1,1,1,5,,,,4,2,18
4,2,1,1,4,18,2,0,19,1,1,1,2,2,6,5,1,6,1,6,2,1,6,4,14,3,5,1,1,1,2,1,2,6,5,5,7,5,5,,,8,,3,,8,,,,7,8,5,,4,3,3,8,8,2
5,2,1,1,3,21,1,2,22,2,5,5,1,5,7,7,2,1,1,7,1,1,1,1,12,5,6,1,2,7,5,6,6,6,4,2,8,10,5,3,0,0,6,10,10,0,2,10,2,,10,8,,5,5,5,15,15,36
1,2,4,1,4,18,5,7,19,1,3,3,1,4,7,6,2,2,2,7,1,2,1,1,9,2,5,5,2,6,6,5,5,6,2,1,4,0,4,5,7,8,3,4,,9,1,3,10,6,5,8,10,4,4,4,14,3,6
2,2,3,1,6,19,1,2,21,3,5,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,21,25
2,1,1,1,4,19,2,0,19,1,4,3,1,5,7,7,2,5,2,3,5,1,6,4,12,3,5,1,4,5,2,1,2,5,2,5,6,2,3,4,,5,8,6,,6,0,8,5,7,8,0,,4,4,5,26,13,20
4,2,1,1,4,19,1,1,19,1,2,2,1,4,6,6,3,2,2,6,3,2,1,1,14,1,2,1,2,1,1,1,1,1,7,7,3,4,,,,,,,,2,1,4,,,,,,5,5,4,13,13,16
2,2,5,1,2,19,1,2,20,1,5,5,2,5,2,2,3,6,3,3,3,3,3,2,10,3,6,6,4,3,2,3,5,5,4,6,6,6,6,6,6,6,6,6,5,5,5,5,6,5,5,6,5,2,2,2,48,48,55
2,2,1,1,4,20,1,3,20,2,5,5,1,5,7,7,1,4,6,7,1,1,4,1,8,7,1,2,9,1,1,1,1,6,3,1,3,3,2,6,,1,1,,,,4,3,,3,8,2,,5,5,5,32,32,39
3,2,1,1,5,18,0,7,18,1,1,3,2,3,1,2,7,6,5,7,3,6,2,1,14,2,3,1,2,2,2,2,2,2,6,6,,,,,,,,,,,,,,,,,,,,,1,1,1
2,2,1,1,2,22,3,4,27,2,5,4,1,5,7,5,2,5,1,7,2,1,4,1,15,6,5,5,4,2,7,7,7,7,9,1,10,,,10,,,10,10,5,10,4,8,10,10,10,10,10,2,2,2,72,30,24
3,2,1,1,4,19,2,0,18,2,4,4,2,5,7,6,2,2,2,7,2,2,6,4,14,1,1,1,2,1,1,1,1,1,7,7,4,6,4,8,0,8,,,,9,,5,,10,9,,9,5,4,3,21,21,48
4,2,1,1,4,21,1,2,20,1,2,2,3,3,1,2,5,6,1,3,2,1,6,4,14,1,5,1,1,5,4,5,4,3,7,7,7,7,2,4,7,1,0,7,0,7,0,0,5,0,7,0,0,5,4,3,6,6,2
3,2,1,1,4,22,1,1,21,2,5,5,1,5,6,7,1,1,1,7,1,1,1,1,14,1,1,1,4,1,1,1,1,1,7,7,,,,,,,,,,,,,,,,,,,,,70,70,
3,2,1,1,4,18,2,2,19,1,1,2,2,2,1,1,7,1,6,7,2,7,1,3,12,6,7,4,1,9,5,5,3,6,3,1,3,2,2,8,,8,10,10,7,0,4,6,,4,3,,7,4,3,2,7,0.5,3
4,1,1,1,4,21,1,0,20,1,4,5,1,5,7,6,1,1,2,7,1,5,1,1,14,1,1,1,7,3,1,1,1,1,6,7,5,,,,7,3,,3,,,3,6,,8,8,,,5,4,5,38,38,
5,2,4,1,5,20,1,2,20,1,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,12,18
4,2,1,1,2,19,1,2,19,1,1,1,2,2,3,3,5,3,5,3,3,5,4,3,10,4,6,4,3,3,5,6,6,6,3,3,7,7,7,6,2,2,2,6,2,3,6,9,2,1,7,1,1,4,3,3,3,3,12
5,2,1,1,4,19,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2,1,1,4,22,1,0,21,2,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,54,
3,2,1,1,2,19,1,2,19,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,12
2,2,1,1,2,23,3,0,21,1,5,5,1,5,7,7,2,1,1,6,1,2,2,1,12,3,6,1,5,9,5,4,7,6,4,1,5,10,10,10,0,10,6,10,8,9,0,5,2,,2,0,10,5,5,5,45,25,27
6,1,1,1,3,18,0,0,,1,2,1,2,1,1,1,6,7,4,5,3,1,1,1,14,3,7,3,4,4,2,7,7,7,7,4,7,6,3,5,4,8,,4,,,,5,9,6,6,7,8,5,4,3,0,0,
2,2,1,1,3,19,1,1,19,1,4,4,1,5,6,6,2,1,3,7,1,2,4,4,11,2,7,2,2,6,6,7,7,6,6,3,9,,4,8,3,,8,8,,,,8,8,4,,,,,,,72,72,
,2,6,1,3,20,1,0,30,3,5,2,3,1,1,7,3,7,1,7,7,2,7,2,14,1,1,1,3,1,1,1,1,1,1,7,2,8,1,8,5,7,,,,10,,1,,3,3,8,10,5,5,5,60,60,46
2,2,1,1,5,21,2,2,22,3,4,3,1,5,7,7,1,2,1,7,1,1,2,1,14,1,4,1,2,1,1,1,1,2,6,6,,,,,,,,,,,,,,,,,,5,5,5,24,24,26
5,2,1,1,2,19,1,0,19,1,5,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,84,0
3,2,1,1,3,19,2,3,19,1,4,4,1,5,6,6,1,2,5,5,1,1,5,1,12,2,6,1,3,5,4,5,5,5,6,5,7,7,,7,10,10,8,8,,6,7,5,2,10,6,2,8,5,5,5,12,8,18
4,2,7,1,4,25,1,0,21,1,2,3,2,2,3,4,4,4,5,6,3,3,4,1,12,4,5,3,3,2,5,6,4,6,4,4,6,3,2,2,7,1,0,3,,6,,4,2,6,5,,,3,4,3,23,23,11
4,2,1,1,4,19,0,1,20,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0,
4,2,1,2,2,22,3,2,23,1,5,5,2,5,7,6,1,1,1,7,1,1,1,1,12,1,6,3,2,7,2,6,9,7,7,1,2,,0,1,,,1,2,2,5,0,2,0,0,1,2,1,,,,28,28,34
5,2,1,1,4,19,1,2,20,1,4,4,1,4,7,6,3,3,3,2,5,4,4,2,12,2,6,6,6,6,6,6,6,6,6,6,5,6,6,10,6,10,4,9,9,9,1,2,4,10,8,1,10,5,5,5,29,2,9
1,1,1,1,6,19,1,2,19,1,2,2,1,5,7,4,5,5,4,1,4,6,5,4,12,3,7,4,7,4,4,5,6,4,6,,6,,,,,,,,,,,,,,,,,,,,19,8,12
3,1,1,1,4,23,2,1,23,1,4,4,1,4,7,7,1,1,4,7,1,3,4,1,15,1,2,1,5,1,1,6,2,3,6,7,0,3,2,4,3,4,,2,,0,1,5,4,4,4,,,5,5,5,42,42,56
4,2,1,2,5,23,2,1,23,1,5,5,1,5,7,7,1,1,2,7,1,1,2,1,14,1,1,1,3,2,1,1,1,1,6,7,5,1,1,6,6,6,,8,,6,1,1,3,6,4,1,,5,5,5,43,43,46
,1,4,1,5,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,1,1,4,20,2,4,21,1,4,4,1,5,7,6,2,2,2,6,2,2,2,1,14,6,2,2,2,6,6,6,6,6,2,2,5,,,,,,,7,,,,,,,,,8,,,,24,13,16
3,2,1,1,4,21,2,4,21,2,5,5,2,5,6,6,1,1,4,5,1,1,5,4,14,1,1,1,2,1,1,1,1,1,9,9,2,,,,,,,,,,3,,,,1,,4,5,5,5,42,42,48
4,1,1,1,5,19,2,0,19,1,3,3,1,5,7,7,1,1,1,5,1,1,1,1,14,1,2,1,4,1,1,1,1,1,7,7,6,10,5,1,0,7,0,0,0,10,0,2,0,10,10,,0,3,3,3,7.5,7.5,18
5,2,4,1,5,20,1,0,21,2,4,4,2,5,6,7,1,2,7,,2,7,3,3,14,1,5,1,1,1,1,1,1,1,6,7,6,1,3,5,1,,,1,,9,,8,1,,6,2,5,,,,13,,4
3,2,6,2,4,24,1,1,25,1,5,3,1,3,6,3,6,5,3,4,2,1,6,4,14,1,5,1,5,7,2,4,3,5,7,6,7,8,3,5,,,,5,,,6,7,6,4,6,,6,5,5,4,5,5,
4,2,1,7,3,30,4,5,34,2,3,3,3,3,3,6,6,6,3,4,1,1,6,4,14,2,6,1,3,5,6,6,7,7,4,2,4,7,7,9,8,,,5,,10,6,6,4,2,7,,10,4,3,4,48,3,12
4,1,2,1,3,20,1,1,22,3,4,4,1,5,5,2,5,4,5,2,6,7,1,3,12,5,6,3,1,7,6,4,4,9,1,2,8,,4,7,,10,9,9,,,7,10,8,,10,,8,5,4,4,22,22,
