e1,d1,d2,d4,d5,d6,r1,r2,r5,r6,r9,r10,r11,r13,r15,r19,r20,r21,r22,r24,r25,r26,r27,r28,f1,f3,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,f15,f16,f17,r3,r7,r8
2,2,1,2,5,22,2,1,23,2,4,4,2,2,7,7,1,6,3,5,2,1,3,2,14,1,1,1,4,1,1,2,1,1,6,7,2,1,,2,1,0,,1,,,,4,,3,2,,,5,5,5,9,9,8
2,2,4,2,4,27,3,3,30,1,5,5,1,5,7,7,1,1,1,7,1,1,1,1,15,7,6,1,1,9,7,7,7,7,9,1,8,,7,9,1,10,2,10,,,,,3,3,,,10,5,5,5,84,84,92
5,2,1,2,5,22,1,0,21,2,5,5,1,5,7,7,1,1,4,7,1,1,1,1,14,2,5,5,4,6,5,5,5,5,5,6,6,2,1,8,0,,,,,,2,6,1,,2,,7,5,4,4,10,10,60
4,1,1,2,2,23,2,5,23,3,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,6,11
4,2,1,2,4,27,3,12,30,4,5,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,58,65
2,2,1,2,3,28,3,6,,1,5,5,3,5,7,7,1,1,3,7,1,1,1,1,14,7,4,1,1,4,7,7,7,7,2,1,10,4,9,10,5,4,,10,,9,,,7,6,9,6,9,5,5,5,48,36,46
4,2,1,1,4,22,1,3,22,1,2,3,3,4,2,6,6,2,5,6,3,6,1,3,14,2,7,6,5,7,6,6,4,7,7,3,9,6,0,7,,6,,10,,,10,10,10,7,10,,10,4,3,2,22,22,
4,2,1,2,5,28,2,3,29,3,4,4,1,5,6,6,5,1,4,6,1,1,4,1,14,2,5,4,3,2,4,4,4,5,5,3,,,,,,,,,,,,,,,,,,,,,36,14,84
4,1,1,2,4,23,3,11,21,3,5,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,1,3
4,2,1,2,5,23,2,3,23,1,5,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,55,84
5,2,1,1,5,20,1,0,22,1,4,3,1,5,5,7,1,5,3,6,2,2,3,1,15,1,5,1,4,2,3,3,3,3,6,5,9,5,5,7,10,8,,7,,,6,2,3,9,2,2,5,4,3,4,33,33,
5,2,7,2,5,24,1,0,23,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,96
2,2,1,2,2,28,2,5,27,2,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,10,1
4,1,1,1,2,19,3,25,19,1,2,2,1,4,5,6,2,2,4,7,1,1,1,1,14,3,5,2,3,5,7,7,7,7,6,4,4,3,5,7,,10,,7,,8,,,8,9,9,,,2,4,4,5,1,16
4,1,1,1,4,21,1,0,21,1,5,5,2,5,3,7,1,6,6,6,6,2,1,2,14,1,2,1,4,3,1,1,1,1,7,7,3,0,,1,0,2,,,,,1,,,,2,3,,5,5,4,36,36,11
4,2,1,2,4,24,3,4,24,2,2,2,1,4,6,4,3,2,5,4,2,2,4,4,12,6,7,5,4,7,6,7,7,7,2,1,2,,,1,,,1,5,,,,,4,,,,,4,4,4,20,3,10
2,2,1,2,3,23,1,6,26,3,4,5,4,5,6,7,4,1,4,7,1,1,2,1,13,9,9,2,9,9,9,9,9,9,9,2,4,3,6,6,7,,7,2,,5,3,3,3,,4,6,,5,5,5,13,13,9
3,1,2,8,3,23,0,2,23,2,4,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,24,
2,2,1,1,3,22,2,50,24,1,3,2,1,1,6,6,5,7,7,6,4,5,6,1,14,7,7,2,4,7,7,7,7,7,7,1,7,6,6,5,2,5,,10,,10,8,6,8,7,7,7,10,4,2,5,2,1,3
4,2,1,4,4,28,3,1,30,1,5,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,60,68
5,1,1,1,2,18,2,2,17,1,2,5,5,5,4,,7,4,7,4,4,4,4,2,15,4,4,1,1,1,4,4,1,1,1,1,7,5,5,10,4,6,0,3,8,3,9,10,,0,10,7,10,1,1,1,26,26,3
1,5,1,1,3,25,1,0,28,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,
4,1,1,2,3,23,4,7,21,1,3,5,3,4,2,3,6,4,6,2,2,2,7,4,14,3,6,6,1,2,6,7,7,6,2,3,,,,,,,,,,,,,,,,,,,,,36,15,6
,1,1,1,4,23,3,4,22,1,2,3,3,5,5,4,5,4,3,1,3,6,5,2,11,6,6,5,5,5,5,5,5,5,5,5,5,2,3,1,5,1,1,1,3,2,4,7,4,5,3,2,9,1,3,2,36,3,4
